DRN - Dropout_Rates: [0.10287154, 0.10497312] 
DRN - Dropout_Rates: [0.097327605, 0.103779145] 
DRN - Dropout_Rates: [0.09752422, 0.101303026] 
DRN - Dropout_Rates: [0.09507775, 0.106493354] 
BQN - Dropout_Rates: [0.10048674, 0.10689015] 
BQN - Dropout_Rates: [0.09509667, 0.10704063] 
BQN - Dropout_Rates: [0.09767064, 0.10789791] 
BQN - Dropout_Rates: [0.096326314, 0.1112931] 
DRN - Dropout_Rates: [0.09345677, 0.11208722] 
DRN - Dropout_Rates: [0.09756153, 0.11046482] 
DRN - Dropout_Rates: [0.097532295, 0.107918106] 
DRN - Dropout_Rates: [0.08974158, 0.11316559] 
BQN - Dropout_Rates: [0.09782907, 0.1107547] 
BQN - Dropout_Rates: [0.10192367, 0.108851485] 
BQN - Dropout_Rates: [0.096014015, 0.10989957] 
BQN - Dropout_Rates: [0.09953927, 0.11075554] 
DRN - Dropout_Rates: [0.094284125, 0.11237983] 
DRN - Dropout_Rates: [0.101613976, 0.10617605] 
DRN - Dropout_Rates: [0.094668895, 0.1173254] 
DRN - Dropout_Rates: [0.10081374, 0.104485415] 
BQN - Dropout_Rates: [0.101994514, 0.10866435] 
BQN - Dropout_Rates: [0.09257127, 0.1145922] 
BQN - Dropout_Rates: [0.09454559, 0.113162965] 
BQN - Dropout_Rates: [0.096893795, 0.11134695] 
DRN - Dropout_Rates: [0.09185461, 0.10607627] 
DRN - Dropout_Rates: [0.10041356, 0.105738595] 
DRN - Dropout_Rates: [0.098881096, 0.10798786] 
DRN - Dropout_Rates: [0.09832723, 0.1029721] 
BQN - Dropout_Rates: [0.0926933, 0.11469962] 
BQN - Dropout_Rates: [0.097820655, 0.10907116] 
BQN - Dropout_Rates: [0.09856976, 0.10873242] 
BQN - Dropout_Rates: [0.09514171, 0.10985065] 
DRN - Dropout_Rates: [0.09810023, 0.10611434] 
DRN - Dropout_Rates: [0.097974405, 0.11043643] 
DRN - Dropout_Rates: [0.09996426, 0.10737371] 
DRN - Dropout_Rates: [0.0991209, 0.10256201] 
BQN - Dropout_Rates: [0.10072456, 0.10962418] 
BQN - Dropout_Rates: [0.091231816, 0.11246124] 
BQN - Dropout_Rates: [0.1023304, 0.10850426] 
BQN - Dropout_Rates: [0.09853459, 0.10921872] 
