DRN - Dropout_Rates: [0.007936343, 0.0010046968] 
DRN - Dropout_Rates: [0.005680275, 0.0005228838] 
DRN - Dropout_Rates: [0.005603249, 0.0005321002] 
DRN - Dropout_Rates: [0.005381744, 0.00053079077] 
BQN - Dropout_Rates: [0.004868443, 0.00050766463] 
BQN - Dropout_Rates: [0.0049870373, 0.00054085127] 
BQN - Dropout_Rates: [0.0052732187, 0.00050972076] 
BQN - Dropout_Rates: [0.0050622458, 0.00051378703] 
DRN - Dropout_Rates: [0.005355833, 0.00052100746] 
DRN - Dropout_Rates: [0.0069425553, 0.000765358] 
DRN - Dropout_Rates: [0.007642785, 0.000929381] 
DRN - Dropout_Rates: [0.005517235, 0.0005404361] 
BQN - Dropout_Rates: [0.006658004, 0.0007433274] 
BQN - Dropout_Rates: [0.0050124675, 0.00049841043] 
BQN - Dropout_Rates: [0.005147392, 0.0005283235] 
BQN - Dropout_Rates: [0.004975464, 0.000496969] 
DRN - Dropout_Rates: [0.009211837, 0.0012245353] 
DRN - Dropout_Rates: [0.0055918074, 0.000527051] 
DRN - Dropout_Rates: [0.0052880393, 0.0005162541] 
DRN - Dropout_Rates: [0.005499491, 0.0005261387] 
BQN - Dropout_Rates: [0.004946866, 0.0005181434] 
BQN - Dropout_Rates: [0.0049736653, 0.00051974115] 
BQN - Dropout_Rates: [0.0050027715, 0.0004892582] 
BQN - Dropout_Rates: [0.0051339604, 0.0005485216] 
DRN - Dropout_Rates: [0.11604869, 0.098496735] 
DRN - Dropout_Rates: [0.0078113126, 0.00088980433] 
DRN - Dropout_Rates: [0.0066052317, 0.0007393038] 
DRN - Dropout_Rates: [0.005360842, 0.0005414114] 
BQN - Dropout_Rates: [0.0051344153, 0.0005187921] 
BQN - Dropout_Rates: [0.005050118, 0.0005260136] 
BQN - Dropout_Rates: [0.004935411, 0.00050488644] 
BQN - Dropout_Rates: [0.0050997217, 0.0005273626] 
DRN - Dropout_Rates: [0.115190834, 0.101208344] 
DRN - Dropout_Rates: [0.009895326, 0.0014079845] 
DRN - Dropout_Rates: [0.0055445745, 0.000523906] 
DRN - Dropout_Rates: [0.005351894, 0.0005310253] 
BQN - Dropout_Rates: [0.0051170927, 0.00051355053] 
BQN - Dropout_Rates: [0.0050751735, 0.00053823105] 
BQN - Dropout_Rates: [0.0049546394, 0.00052132143] 
BQN - Dropout_Rates: [0.0049666218, 0.000519468] 
