DRN - Dropout_Rates: [0.095195524, 0.09197745] 
DRN - Dropout_Rates: [0.09531079, 0.09390569] 
DRN - Dropout_Rates: [0.09230279, 0.09448729] 
DRN - Dropout_Rates: [0.09301492, 0.08773776] 
BQN - Dropout_Rates: [0.10732225, 0.12251548] 
BQN - Dropout_Rates: [0.10423541, 0.111356504] 
BQN - Dropout_Rates: [0.104166105, 0.13216802] 
BQN - Dropout_Rates: [0.11064021, 0.14515139] 
DRN - Dropout_Rates: [0.097976506, 0.09794682] 
DRN - Dropout_Rates: [0.096541524, 0.10391417] 
DRN - Dropout_Rates: [0.09748618, 0.09415753] 
DRN - Dropout_Rates: [0.09963275, 0.0980107] 
BQN - Dropout_Rates: [0.105106466, 0.112176605] 
BQN - Dropout_Rates: [0.10385697, 0.11218622] 
BQN - Dropout_Rates: [0.10567347, 0.12654023] 
BQN - Dropout_Rates: [0.10949498, 0.20199752] 
DRN - Dropout_Rates: [0.09884774, 0.10338416] 
DRN - Dropout_Rates: [0.094826296, 0.0894266] 
DRN - Dropout_Rates: [0.09369561, 0.09488574] 
DRN - Dropout_Rates: [0.09566013, 0.09738845] 
BQN - Dropout_Rates: [0.106895976, 0.11987581] 
BQN - Dropout_Rates: [0.106100515, 0.12160852] 
BQN - Dropout_Rates: [0.10306211, 0.111183345] 
BQN - Dropout_Rates: [0.10229862, 0.113895744] 
DRN - Dropout_Rates: [0.098934814, 0.09955096] 
DRN - Dropout_Rates: [0.097083844, 0.09896266] 
DRN - Dropout_Rates: [0.096944526, 0.097317845] 
DRN - Dropout_Rates: [0.09398328, 0.09424286] 
BQN - Dropout_Rates: [0.10563077, 0.13501541] 
BQN - Dropout_Rates: [0.10439056, 0.1154257] 
BQN - Dropout_Rates: [0.10685152, 0.13174677] 
BQN - Dropout_Rates: [0.10972773, 0.16857633] 
DRN - Dropout_Rates: [0.09682485, 0.09365098] 
DRN - Dropout_Rates: [0.09122095, 0.0848427] 
DRN - Dropout_Rates: [0.09631434, 0.09794036] 
DRN - Dropout_Rates: [0.096165545, 0.09158066] 
BQN - Dropout_Rates: [0.10409093, 0.107214876] 
BQN - Dropout_Rates: [0.103604995, 0.11581591] 
BQN - Dropout_Rates: [0.11091102, 0.18157212] 
BQN - Dropout_Rates: [0.10775787, 0.177411] 
