DRN - Dropout_Rates: [0.09783228, 0.11035398] 
DRN - Dropout_Rates: [0.101640485, 0.112526] 
DRN - Dropout_Rates: [0.09945315, 0.114766404] 
DRN - Dropout_Rates: [0.09434626, 0.11509859] 
BQN - Dropout_Rates: [0.10029904, 0.10906792] 
BQN - Dropout_Rates: [0.09702843, 0.10758507] 
BQN - Dropout_Rates: [0.09833801, 0.10970328] 
BQN - Dropout_Rates: [0.096269645, 0.10785865] 
DRN - Dropout_Rates: [0.099959515, 0.11269435] 
DRN - Dropout_Rates: [0.10143345, 0.11211453] 
DRN - Dropout_Rates: [0.09875071, 0.11355221] 
DRN - Dropout_Rates: [0.098921716, 0.11210515] 
BQN - Dropout_Rates: [0.10161974, 0.108867206] 
BQN - Dropout_Rates: [0.09513649, 0.109022416] 
BQN - Dropout_Rates: [0.098687895, 0.10956795] 
BQN - Dropout_Rates: [0.09640929, 0.109751284] 
DRN - Dropout_Rates: [0.099235155, 0.117332846] 
DRN - Dropout_Rates: [0.100418724, 0.10981401] 
DRN - Dropout_Rates: [0.100392714, 0.11354595] 
DRN - Dropout_Rates: [0.101771876, 0.112784594] 
BQN - Dropout_Rates: [0.102810495, 0.109286904] 
BQN - Dropout_Rates: [0.099188976, 0.10824855] 
BQN - Dropout_Rates: [0.09371473, 0.107794955] 
BQN - Dropout_Rates: [0.103947565, 0.11085772] 
DRN - Dropout_Rates: [0.10016508, 0.1156969] 
DRN - Dropout_Rates: [0.0983911, 0.116211176] 
DRN - Dropout_Rates: [0.102633394, 0.109895006] 
DRN - Dropout_Rates: [0.09968559, 0.113199994] 
BQN - Dropout_Rates: [0.09713969, 0.10832314] 
BQN - Dropout_Rates: [0.09527782, 0.10757515] 
BQN - Dropout_Rates: [0.103020996, 0.11091916] 
BQN - Dropout_Rates: [0.095830955, 0.10929479] 
DRN - Dropout_Rates: [0.0986195, 0.11209189] 
DRN - Dropout_Rates: [0.10199329, 0.11398955] 
DRN - Dropout_Rates: [0.09980908, 0.11122128] 
DRN - Dropout_Rates: [0.099707976, 0.11186424] 
BQN - Dropout_Rates: [0.09656102, 0.111455254] 
BQN - Dropout_Rates: [0.102403656, 0.10928697] 
BQN - Dropout_Rates: [0.10011442, 0.10908619] 
BQN - Dropout_Rates: [0.097322494, 0.110630244] 
