DRN - Dropout_Rates: [0.101895034, 0.10308155] 
DRN - Dropout_Rates: [0.09836819, 0.10204134] 
BQN - Dropout_Rates: [0.10101704, 0.109617814] 
BQN - Dropout_Rates: [0.09646595, 0.10948668] 
DRN - Dropout_Rates: [0.10575616, 0.10546869] 
DRN - Dropout_Rates: [0.095996596, 0.10106839] 
BQN - Dropout_Rates: [0.0982161, 0.1089396] 
BQN - Dropout_Rates: [0.094967954, 0.11053298] 
DRN - Dropout_Rates: [0.098073475, 0.1022154] 
DRN - Dropout_Rates: [0.096926264, 0.10316043] 
BQN - Dropout_Rates: [0.094790295, 0.11018449] 
BQN - Dropout_Rates: [0.09821683, 0.113034] 
DRN - Dropout_Rates: [0.10443147, 0.10546671] 
DRN - Dropout_Rates: [0.101314336, 0.10374736] 
BQN - Dropout_Rates: [0.10182289, 0.10884392] 
BQN - Dropout_Rates: [0.10026118, 0.1096186] 
DRN - Dropout_Rates: [0.102575526, 0.10277656] 
DRN - Dropout_Rates: [0.1006079, 0.10650434] 
BQN - Dropout_Rates: [0.09883715, 0.107911475] 
BQN - Dropout_Rates: [0.09754858, 0.11073246] 
DRN - Dropout_Rates: [0.10178151, 0.10444157] 
DRN - Dropout_Rates: [0.09577823, 0.1037179] 
BQN - Dropout_Rates: [0.09005507, 0.115688495] 
BQN - Dropout_Rates: [0.09865334, 0.10839469] 
DRN - Dropout_Rates: [0.10414836, 0.10369891] 
DRN - Dropout_Rates: [0.104067475, 0.10412411] 
BQN - Dropout_Rates: [0.09890726, 0.10810245] 
BQN - Dropout_Rates: [0.100322686, 0.107563406] 
DRN - Dropout_Rates: [0.10165402, 0.106639504] 
DRN - Dropout_Rates: [0.098626606, 0.10410541] 
BQN - Dropout_Rates: [0.100971624, 0.109898336] 
BQN - Dropout_Rates: [0.09701307, 0.10913524] 
DRN - Dropout_Rates: [0.09696492, 0.103796] 
DRN - Dropout_Rates: [0.09292567, 0.100426495] 
BQN - Dropout_Rates: [0.09766284, 0.10929728] 
BQN - Dropout_Rates: [0.10067944, 0.10681277] 
DRN - Dropout_Rates: [0.09812343, 0.10560405] 
DRN - Dropout_Rates: [0.104887225, 0.10508633] 
BQN - Dropout_Rates: [0.097561486, 0.11164747] 
BQN - Dropout_Rates: [0.09944133, 0.109128] 
