DRN - Dropout_Rates: [0.09028891, 0.09873732] 
DRN - Dropout_Rates: [0.08882357, 0.09803491] 
BQN - Dropout_Rates: [0.09060419, 0.10202412] 
BQN - Dropout_Rates: [0.08207391, 0.102822304] 
DRN - Dropout_Rates: [0.085753344, 0.09660716] 
DRN - Dropout_Rates: [0.09042771, 0.098826766] 
BQN - Dropout_Rates: [0.089993075, 0.10278895] 
BQN - Dropout_Rates: [0.08592703, 0.105064265] 
DRN - Dropout_Rates: [0.08797327, 0.0984719] 
DRN - Dropout_Rates: [0.09269693, 0.09949662] 
BQN - Dropout_Rates: [0.073745795, 0.09700459] 
BQN - Dropout_Rates: [0.09543727, 0.1047789] 
DRN - Dropout_Rates: [0.09240898, 0.09930278] 
DRN - Dropout_Rates: [0.09150495, 0.09791325] 
BQN - Dropout_Rates: [0.07953081, 0.098182365] 
BQN - Dropout_Rates: [0.09104745, 0.10403449] 
DRN - Dropout_Rates: [0.09454689, 0.09966947] 
DRN - Dropout_Rates: [0.09311599, 0.09753083] 
BQN - Dropout_Rates: [0.08748701, 0.10246916] 
BQN - Dropout_Rates: [0.084806345, 0.09925783] 
DRN - Dropout_Rates: [0.09462495, 0.09756486] 
DRN - Dropout_Rates: [0.09539801, 0.098150566] 
BQN - Dropout_Rates: [0.09509356, 0.1027774] 
BQN - Dropout_Rates: [0.09049882, 0.104800254] 
DRN - Dropout_Rates: [0.08831111, 0.09988932] 
DRN - Dropout_Rates: [0.08434945, 0.09511415] 
BQN - Dropout_Rates: [0.09735817, 0.101071924] 
BQN - Dropout_Rates: [0.09204792, 0.10061055] 
DRN - Dropout_Rates: [0.094565734, 0.099374555] 
DRN - Dropout_Rates: [0.092809156, 0.100067966] 
BQN - Dropout_Rates: [0.09049735, 0.1049766] 
BQN - Dropout_Rates: [0.08552977, 0.10044458] 
DRN - Dropout_Rates: [0.09264061, 0.10057346] 
DRN - Dropout_Rates: [0.094462365, 0.09900021] 
BQN - Dropout_Rates: [0.0885757, 0.10284432] 
BQN - Dropout_Rates: [0.0885967, 0.1007667] 
DRN - Dropout_Rates: [0.096624374, 0.10020439] 
DRN - Dropout_Rates: [0.09474065, 0.100934364] 
BQN - Dropout_Rates: [0.08861599, 0.10289022] 
BQN - Dropout_Rates: [0.08671311, 0.10581362] 
