DRN - Dropout_Rates: [0.09005934, 0.09730467] 
DRN - Dropout_Rates: [0.088589154, 0.09698874] 
BQN - Dropout_Rates: [0.08558153, 0.10478726] 
BQN - Dropout_Rates: [0.09563659, 0.10601004] 
DRN - Dropout_Rates: [0.088568315, 0.09750279] 
DRN - Dropout_Rates: [0.095510274, 0.10172703] 
BQN - Dropout_Rates: [0.0777753, 0.102072276] 
BQN - Dropout_Rates: [0.08401965, 0.10612077] 
DRN - Dropout_Rates: [0.09281265, 0.100500815] 
DRN - Dropout_Rates: [0.08956126, 0.09790034] 
BQN - Dropout_Rates: [0.08647116, 0.10119304] 
BQN - Dropout_Rates: [0.08484301, 0.10092757] 
DRN - Dropout_Rates: [0.08615437, 0.09695019] 
DRN - Dropout_Rates: [0.09410579, 0.10191568] 
BQN - Dropout_Rates: [0.080630906, 0.099781275] 
BQN - Dropout_Rates: [0.08662873, 0.10497274] 
DRN - Dropout_Rates: [0.08939801, 0.10030152] 
DRN - Dropout_Rates: [0.09730128, 0.102125555] 
BQN - Dropout_Rates: [0.082613125, 0.104258135] 
BQN - Dropout_Rates: [0.09077344, 0.105544426] 
DRN - Dropout_Rates: [0.08774653, 0.09812626] 
DRN - Dropout_Rates: [0.09086193, 0.09975024] 
BQN - Dropout_Rates: [0.08456351, 0.1030778] 
BQN - Dropout_Rates: [0.09186899, 0.1051476] 
DRN - Dropout_Rates: [0.0955819, 0.09982204] 
DRN - Dropout_Rates: [0.0937698, 0.103042714] 
BQN - Dropout_Rates: [0.0919932, 0.1049179] 
BQN - Dropout_Rates: [0.09414065, 0.10626105] 
DRN - Dropout_Rates: [0.09371117, 0.10090723] 
DRN - Dropout_Rates: [0.09308451, 0.10082738] 
BQN - Dropout_Rates: [0.082215436, 0.103832185] 
BQN - Dropout_Rates: [0.08666977, 0.10298445] 
DRN - Dropout_Rates: [0.085256435, 0.09916161] 
DRN - Dropout_Rates: [0.08836875, 0.09726803] 
BQN - Dropout_Rates: [0.08247869, 0.10202738] 
BQN - Dropout_Rates: [0.08568357, 0.10246834] 
DRN - Dropout_Rates: [0.09423302, 0.10131201] 
DRN - Dropout_Rates: [0.08993554, 0.09999029] 
BQN - Dropout_Rates: [0.09007687, 0.10348197] 
BQN - Dropout_Rates: [0.08636502, 0.10425996] 
