DRN - Dropout_Rates: [0.0054491865, 0.016074214] 
DRN - Dropout_Rates: [0.0040763044, 0.011494548] 
BQN - Dropout_Rates: [0.0055639935, 0.13670488] 
BQN - Dropout_Rates: [0.010393251, 0.11233496] 
DRN - Dropout_Rates: [0.006331117, 0.019612825] 
DRN - Dropout_Rates: [0.0063063186, 0.017946828] 
BQN - Dropout_Rates: [0.0068644444, 0.10578974] 
BQN - Dropout_Rates: [0.00550074, 0.14505653] 
DRN - Dropout_Rates: [0.003913327, 0.010979868] 
DRN - Dropout_Rates: [0.006341458, 0.018198503] 
BQN - Dropout_Rates: [0.0054304297, 0.12365077] 
BQN - Dropout_Rates: [0.012509942, 0.110237814] 
DRN - Dropout_Rates: [0.004006882, 0.012648896] 
DRN - Dropout_Rates: [0.003964864, 0.010850751] 
BQN - Dropout_Rates: [0.006522706, 0.12830228] 
BQN - Dropout_Rates: [0.022458712, 0.12805788] 
DRN - Dropout_Rates: [0.004423451, 0.012701595] 
DRN - Dropout_Rates: [0.0037578014, 0.011785331] 
BQN - Dropout_Rates: [0.0105284555, 0.12246527] 
BQN - Dropout_Rates: [0.0080136545, 0.15904254] 
DRN - Dropout_Rates: [0.0049191318, 0.014999756] 
DRN - Dropout_Rates: [0.005852943, 0.018481795] 
BQN - Dropout_Rates: [0.01273519, 0.122122094] 
BQN - Dropout_Rates: [0.007827123, 0.11534107] 
DRN - Dropout_Rates: [0.0067712576, 0.02100064] 
DRN - Dropout_Rates: [0.003889216, 0.012369353] 
BQN - Dropout_Rates: [0.008032504, 0.109588675] 
BQN - Dropout_Rates: [0.005402948, 0.08445976] 
DRN - Dropout_Rates: [0.003841741, 0.011022803] 
DRN - Dropout_Rates: [0.0041107233, 0.011600046] 
BQN - Dropout_Rates: [0.008326754, 0.125266] 
BQN - Dropout_Rates: [0.005469373, 0.11224259] 
DRN - Dropout_Rates: [0.007792823, 0.025142424] 
DRN - Dropout_Rates: [0.0041313623, 0.01395281] 
BQN - Dropout_Rates: [0.00953129, 0.10297227] 
BQN - Dropout_Rates: [0.005384938, 0.10878036] 
DRN - Dropout_Rates: [0.008338637, 0.02185932] 
DRN - Dropout_Rates: [0.004255439, 0.011810505] 
BQN - Dropout_Rates: [0.018760005, 0.13950303] 
BQN - Dropout_Rates: [0.0083430065, 0.13556233] 
