DRN - Dropout_Rates: [0.47234076, 0.48333076] 
DRN - Dropout_Rates: [0.4754153, 0.47991756] 
BQN - Dropout_Rates: [0.48499754, 0.48916999] 
BQN - Dropout_Rates: [0.4875917, 0.48931658] 
DRN - Dropout_Rates: [0.45563474, 0.46939656] 
DRN - Dropout_Rates: [0.43571615, 0.4369981] 
BQN - Dropout_Rates: [0.4874812, 0.48876402] 
BQN - Dropout_Rates: [0.48138624, 0.4849236] 
DRN - Dropout_Rates: [0.46378857, 0.46366248] 
DRN - Dropout_Rates: [0.4518193, 0.4731321] 
BQN - Dropout_Rates: [0.48876065, 0.4904157] 
BQN - Dropout_Rates: [0.4873702, 0.48966798] 
DRN - Dropout_Rates: [0.4687723, 0.47607082] 
DRN - Dropout_Rates: [0.4665129, 0.47206846] 
BQN - Dropout_Rates: [0.4795133, 0.47828734] 
BQN - Dropout_Rates: [0.48554802, 0.48820212] 
DRN - Dropout_Rates: [0.47017744, 0.48120555] 
DRN - Dropout_Rates: [0.4141713, 0.41898894] 
BQN - Dropout_Rates: [0.47761703, 0.4736701] 
BQN - Dropout_Rates: [0.48648435, 0.49269274] 
DRN - Dropout_Rates: [0.47683316, 0.48497856] 
DRN - Dropout_Rates: [0.4614962, 0.4676289] 
BQN - Dropout_Rates: [0.46519497, 0.44846562] 
BQN - Dropout_Rates: [0.47891545, 0.48042884] 
DRN - Dropout_Rates: [0.46557617, 0.46823078] 
DRN - Dropout_Rates: [0.48283353, 0.47376353] 
BQN - Dropout_Rates: [0.480788, 0.4824654] 
BQN - Dropout_Rates: [0.4714759, 0.46483108] 
DRN - Dropout_Rates: [0.47457388, 0.48282918] 
DRN - Dropout_Rates: [0.47519222, 0.48580357] 
BQN - Dropout_Rates: [0.4760282, 0.47647685] 
BQN - Dropout_Rates: [0.48997885, 0.4906675] 
DRN - Dropout_Rates: [0.4599247, 0.46997315] 
DRN - Dropout_Rates: [0.477496, 0.4841269] 
BQN - Dropout_Rates: [0.48199672, 0.48270234] 
BQN - Dropout_Rates: [0.47921017, 0.46501458] 
DRN - Dropout_Rates: [0.43784827, 0.46045852] 
DRN - Dropout_Rates: [0.44186366, 0.44470873] 
BQN - Dropout_Rates: [0.48645374, 0.48965642] 
BQN - Dropout_Rates: [0.48652196, 0.48931086] 
