DRN - Dropout_Rates: [0.007151617, 0.00071398204] 
DRN - Dropout_Rates: [0.0057703047, 0.00053612865] 
BQN - Dropout_Rates: [0.005075465, 0.000503903] 
BQN - Dropout_Rates: [0.0049036834, 0.0005110954] 
DRN - Dropout_Rates: [0.007970489, 0.0008817847] 
DRN - Dropout_Rates: [0.00709982, 0.00071351] 
BQN - Dropout_Rates: [0.007176322, 0.0009826814] 
BQN - Dropout_Rates: [0.0052060257, 0.0005240983] 
DRN - Dropout_Rates: [0.0057421993, 0.00052236347] 
DRN - Dropout_Rates: [0.0057978467, 0.00055078615] 
BQN - Dropout_Rates: [0.0051130066, 0.0005042326] 
BQN - Dropout_Rates: [0.0050357715, 0.00052126247] 
DRN - Dropout_Rates: [0.0071380762, 0.00075887644] 
DRN - Dropout_Rates: [0.005849722, 0.0005535511] 
BQN - Dropout_Rates: [0.0065268297, 0.0007544413] 
BQN - Dropout_Rates: [0.0050539286, 0.0005317496] 
DRN - Dropout_Rates: [0.0058320705, 0.00054046395] 
DRN - Dropout_Rates: [0.010876766, 0.0013688039] 
BQN - Dropout_Rates: [0.005285667, 0.00053072756] 
BQN - Dropout_Rates: [0.005139558, 0.00051569095] 
DRN - Dropout_Rates: [0.0074320515, 0.00083078287] 
DRN - Dropout_Rates: [0.0055717267, 0.000534156] 
BQN - Dropout_Rates: [0.004934676, 0.0005025424] 
BQN - Dropout_Rates: [0.00503291, 0.0005374695] 
DRN - Dropout_Rates: [0.005871155, 0.0005265529] 
DRN - Dropout_Rates: [0.005644501, 0.0005373122] 
BQN - Dropout_Rates: [0.005117056, 0.0005139606] 
BQN - Dropout_Rates: [0.005083779, 0.0005245623] 
DRN - Dropout_Rates: [0.0070789047, 0.0007490602] 
DRN - Dropout_Rates: [0.0057333116, 0.0005395938] 
BQN - Dropout_Rates: [0.0049784724, 0.000504962] 
BQN - Dropout_Rates: [0.004925569, 0.0005240349] 
DRN - Dropout_Rates: [0.006526366, 0.0006753909] 
BQN - Dropout_Rates: [0.005981282, 0.0006807615] 
DRN - Dropout_Rates: [0.005574689, 0.00054638163] 
BQN - Dropout_Rates: [0.004868757, 0.0005103489] 
DRN - Dropout_Rates: [0.011046022, 0.0015545062] 
BQN - Dropout_Rates: [0.0049971305, 0.0005281924] 
DRN - Dropout_Rates: [0.0058005787, 0.0005350648] 
BQN - Dropout_Rates: [0.0051209414, 0.0005109603] 
