DRN - Dropout_Rates: [0.023469005, 0.03286627] 
DRN - Dropout_Rates: [0.022866592, 0.03339423] 
BQN - Dropout_Rates: [0.016262641, 0.029701475] 
BQN - Dropout_Rates: [0.023337437, 0.0425569] 
DRN - Dropout_Rates: [0.021200543, 0.02953087] 
DRN - Dropout_Rates: [0.013142709, 0.021893607] 
BQN - Dropout_Rates: [0.008353866, 0.018281244] 
BQN - Dropout_Rates: [0.019425306, 0.034734577] 
DRN - Dropout_Rates: [0.04298797, 0.05138343] 
DRN - Dropout_Rates: [0.028958704, 0.046355426] 
BQN - Dropout_Rates: [0.023711907, 0.03692184] 
BQN - Dropout_Rates: [0.040086836, 0.061495002] 
DRN - Dropout_Rates: [0.017462019, 0.026073683] 
DRN - Dropout_Rates: [0.035207402, 0.047189824] 
BQN - Dropout_Rates: [0.02633489, 0.045567054] 
BQN - Dropout_Rates: [0.035721097, 0.051938687] 
DRN - Dropout_Rates: [0.022777755, 0.03564668] 
DRN - Dropout_Rates: [0.032395817, 0.049291395] 
BQN - Dropout_Rates: [0.022196153, 0.0487011] 
BQN - Dropout_Rates: [0.05569168, 0.07223988] 
DRN - Dropout_Rates: [0.013829192, 0.01838028] 
DRN - Dropout_Rates: [0.03028044, 0.041046448] 
BQN - Dropout_Rates: [0.051109634, 0.06487443] 
BQN - Dropout_Rates: [0.028662832, 0.037772913] 
DRN - Dropout_Rates: [0.054982044, 0.06092457] 
DRN - Dropout_Rates: [0.037928104, 0.045407455] 
BQN - Dropout_Rates: [0.03443789, 0.051554445] 
BQN - Dropout_Rates: [0.04189063, 0.0547652] 
DRN - Dropout_Rates: [0.038401708, 0.047441266] 
DRN - Dropout_Rates: [0.017472617, 0.02643819] 
BQN - Dropout_Rates: [0.024574151, 0.0536935] 
BQN - Dropout_Rates: [0.016478172, 0.036091387] 
DRN - Dropout_Rates: [0.023352874, 0.034831673] 
DRN - Dropout_Rates: [0.022601811, 0.041151196] 
BQN - Dropout_Rates: [0.012348714, 0.027346965] 
BQN - Dropout_Rates: [0.030873079, 0.05672748] 
DRN - Dropout_Rates: [0.06114124, 0.06646247] 
DRN - Dropout_Rates: [0.01656302, 0.028711578] 
BQN - Dropout_Rates: [0.033087954, 0.06308114] 
BQN - Dropout_Rates: [0.018766114, 0.03371139] 
