DRN - Dropout_Rates: [0.09350275, 0.09759827] 
BQN - Dropout_Rates: [0.110178865, 0.18333007] 
DRN - Dropout_Rates: [0.096871994, 0.09514188] 
BQN - Dropout_Rates: [0.10439767, 0.118727796] 
DRN - Dropout_Rates: [0.09488693, 0.0933] 
BQN - Dropout_Rates: [0.11101093, 0.15675569] 
DRN - Dropout_Rates: [0.09698686, 0.09294886] 
DRN - Dropout_Rates: [0.098398976, 0.09795949] 
BQN - Dropout_Rates: [0.107636325, 0.1344449] 
BQN - Dropout_Rates: [0.1089018, 0.16225325] 
DRN - Dropout_Rates: [0.0990212, 0.09784311] 
DRN - Dropout_Rates: [0.09788344, 0.09596737] 
BQN - Dropout_Rates: [0.10367777, 0.10772656] 
BQN - Dropout_Rates: [0.109809905, 0.17753528] 
DRN - Dropout_Rates: [0.09591682, 0.088139445] 
DRN - Dropout_Rates: [0.09706555, 0.09190442] 
BQN - Dropout_Rates: [0.10483064, 0.1277615] 
BQN - Dropout_Rates: [0.104764454, 0.121476814] 
DRN - Dropout_Rates: [0.09731646, 0.092196375] 
DRN - Dropout_Rates: [0.094047755, 0.09031254] 
BQN - Dropout_Rates: [0.10599353, 0.12418223] 
BQN - Dropout_Rates: [0.106691524, 0.123726726] 
DRN - Dropout_Rates: [0.09972582, 0.09803873] 
DRN - Dropout_Rates: [0.097024076, 0.094375946] 
BQN - Dropout_Rates: [0.11119414, 0.17819068] 
BQN - Dropout_Rates: [0.10622107, 0.11339056] 
DRN - Dropout_Rates: [0.0979694, 0.09646478] 
DRN - Dropout_Rates: [0.096508786, 0.089100845] 
BQN - Dropout_Rates: [0.10208086, 0.106067024] 
BQN - Dropout_Rates: [0.10367564, 0.10989048] 
DRN - Dropout_Rates: [0.09469246, 0.08585244] 
DRN - Dropout_Rates: [0.093889646, 0.087675735] 
BQN - Dropout_Rates: [0.11084086, 0.16687357] 
BQN - Dropout_Rates: [0.103643455, 0.11189224] 
DRN - Dropout_Rates: [0.09822277, 0.092124306] 
DRN - Dropout_Rates: [0.09885696, 0.09555031] 
BQN - Dropout_Rates: [0.1052688, 0.13763478] 
BQN - Dropout_Rates: [0.10759861, 0.16379681] 
DRN - Dropout_Rates: [0.09465721, 0.09030246] 
BQN - Dropout_Rates: [0.10956532, 0.18270703] 
