DRN - Dropout_Rates: [0.10186025, 0.11634189] 
BQN - Dropout_Rates: [0.09532614, 0.10759913] 
DRN - Dropout_Rates: [0.10450333, 0.1115438] 
DRN - Dropout_Rates: [0.09832963, 0.119916596] 
BQN - Dropout_Rates: [0.09952607, 0.10929987] 
BQN - Dropout_Rates: [0.09765511, 0.1080193] 
DRN - Dropout_Rates: [0.103764586, 0.11336623] 
DRN - Dropout_Rates: [0.10167912, 0.11330473] 
BQN - Dropout_Rates: [0.10099591, 0.108798094] 
BQN - Dropout_Rates: [0.09619916, 0.108649075] 
DRN - Dropout_Rates: [0.103509925, 0.11878099] 
DRN - Dropout_Rates: [0.104353875, 0.11282471] 
BQN - Dropout_Rates: [0.09896548, 0.109319426] 
BQN - Dropout_Rates: [0.09845557, 0.107357726] 
DRN - Dropout_Rates: [0.10009427, 0.11587498] 
DRN - Dropout_Rates: [0.10258174, 0.116145864] 
BQN - Dropout_Rates: [0.09805216, 0.108657435] 
BQN - Dropout_Rates: [0.100925304, 0.108979195] 
DRN - Dropout_Rates: [0.10150868, 0.11532818] 
DRN - Dropout_Rates: [0.10304689, 0.11122507] 
BQN - Dropout_Rates: [0.1005476, 0.11082416] 
BQN - Dropout_Rates: [0.10089314, 0.10918118] 
DRN - Dropout_Rates: [0.10216063, 0.117963225] 
DRN - Dropout_Rates: [0.09961536, 0.11708924] 
BQN - Dropout_Rates: [0.10152119, 0.10966983] 
BQN - Dropout_Rates: [0.097415574, 0.11069899] 
DRN - Dropout_Rates: [0.100359835, 0.11356779] 
DRN - Dropout_Rates: [0.103764944, 0.12378932] 
BQN - Dropout_Rates: [0.0991977, 0.11012001] 
BQN - Dropout_Rates: [0.100477, 0.10947944] 
DRN - Dropout_Rates: [0.10406975, 0.117261246] 
DRN - Dropout_Rates: [0.10127707, 0.11386575] 
BQN - Dropout_Rates: [0.09528809, 0.10547405] 
BQN - Dropout_Rates: [0.099209905, 0.10890411] 
DRN - Dropout_Rates: [0.101269364, 0.11678504] 
DRN - Dropout_Rates: [0.098074116, 0.116053574] 
BQN - Dropout_Rates: [0.103736706, 0.11137533] 
BQN - Dropout_Rates: [0.09770191, 0.10961313] 
DRN - Dropout_Rates: [0.09991757, 0.11491069] 
BQN - Dropout_Rates: [0.09913288, 0.109902486] 
