DRN - Dropout_Rates: [0.10287154, 0.10497312] 
DRN - Dropout_Rates: [0.097327605, 0.103779145] 
DRN - Dropout_Rates: [0.09752422, 0.101303026] 
DRN - Dropout_Rates: [0.09507775, 0.106493354] 
BQN - Dropout_Rates: [0.10048674, 0.10689015] 
BQN - Dropout_Rates: [0.09509667, 0.10704063] 
BQN - Dropout_Rates: [0.09767064, 0.10789791] 
BQN - Dropout_Rates: [0.096326314, 0.1112931] 
DRN - Dropout_Rates: [0.09345677, 0.11208722] 
DRN - Dropout_Rates: [0.09756153, 0.11046482] 
DRN - Dropout_Rates: [0.097532295, 0.107918106] 
DRN - Dropout_Rates: [0.08974158, 0.11316559] 
BQN - Dropout_Rates: [0.09782907, 0.1107547] 
BQN - Dropout_Rates: [0.10192367, 0.108851485] 
BQN - Dropout_Rates: [0.096014015, 0.10989957] 
BQN - Dropout_Rates: [0.09953927, 0.11075554] 
DRN - Dropout_Rates: [0.094284125, 0.11237983] 
DRN - Dropout_Rates: [0.101613976, 0.10617605] 
DRN - Dropout_Rates: [0.094668895, 0.1173254] 
DRN - Dropout_Rates: [0.10081374, 0.104485415] 
BQN - Dropout_Rates: [0.101994514, 0.10866435] 
BQN - Dropout_Rates: [0.09257127, 0.1145922] 
BQN - Dropout_Rates: [0.09454559, 0.113162965] 
BQN - Dropout_Rates: [0.096893795, 0.11134695] 
DRN - Dropout_Rates: [0.09185461, 0.10607627] 
DRN - Dropout_Rates: [0.10041356, 0.105738595] 
DRN - Dropout_Rates: [0.098881096, 0.10798786] 
DRN - Dropout_Rates: [0.09832723, 0.1029721] 
BQN - Dropout_Rates: [0.0926933, 0.11469962] 
BQN - Dropout_Rates: [0.097820655, 0.10907116] 
BQN - Dropout_Rates: [0.09856976, 0.10873242] 
BQN - Dropout_Rates: [0.09514171, 0.10985065] 
DRN - Dropout_Rates: [0.09810023, 0.10611434] 
DRN - Dropout_Rates: [0.097974405, 0.11043643] 
DRN - Dropout_Rates: [0.09996426, 0.10737371] 
DRN - Dropout_Rates: [0.0991209, 0.10256201] 
BQN - Dropout_Rates: [0.10072456, 0.10962418] 
BQN - Dropout_Rates: [0.091231816, 0.11246124] 
BQN - Dropout_Rates: [0.1023304, 0.10850426] 
BQN - Dropout_Rates: [0.09853459, 0.10921872] 
DRN - Dropout_Rates: [0.10513938, 0.10543238] 
DRN - Dropout_Rates: [0.09742427, 0.10804671] 
DRN - Dropout_Rates: [0.09870835, 0.10883312] 
DRN - Dropout_Rates: [0.09549037, 0.104239084] 
BQN - Dropout_Rates: [0.101235695, 0.1077685] 
BQN - Dropout_Rates: [0.0996248, 0.109021746] 
BQN - Dropout_Rates: [0.09738181, 0.10719775] 
BQN - Dropout_Rates: [0.09511767, 0.112627454] 
DRN - Dropout_Rates: [0.099203385, 0.115546465] 
DRN - Dropout_Rates: [0.10190098, 0.10181122] 
DRN - Dropout_Rates: [0.09947263, 0.11180451] 
DRN - Dropout_Rates: [0.09584848, 0.10524771] 
BQN - Dropout_Rates: [0.09836362, 0.109028645] 
BQN - Dropout_Rates: [0.102278136, 0.10812033] 
BQN - Dropout_Rates: [0.09761648, 0.11125309] 
BQN - Dropout_Rates: [0.09912473, 0.10990301] 
DRN - Dropout_Rates: [0.095871314, 0.10315063] 
DRN - Dropout_Rates: [0.092524216, 0.1155807] 
DRN - Dropout_Rates: [0.0989323, 0.10731177] 
DRN - Dropout_Rates: [0.09345248, 0.12269824] 
BQN - Dropout_Rates: [0.10052379, 0.10873685] 
BQN - Dropout_Rates: [0.09784566, 0.11185166] 
BQN - Dropout_Rates: [0.09855897, 0.10828595] 
BQN - Dropout_Rates: [0.09283272, 0.11190681] 
DRN - Dropout_Rates: [0.09981775, 0.10204081] 
DRN - Dropout_Rates: [0.09716767, 0.11231394] 
DRN - Dropout_Rates: [0.0969996, 0.11128675] 
BQN - Dropout_Rates: [0.10253998, 0.110267766] 
DRN - Dropout_Rates: [0.10105515, 0.10716459] 
BQN - Dropout_Rates: [0.10145165, 0.10809575] 
BQN - Dropout_Rates: [0.09944544, 0.109288245] 
BQN - Dropout_Rates: [0.09609946, 0.111469276] 
DRN - Dropout_Rates: [0.10054121, 0.10493637] 
DRN - Dropout_Rates: [0.10244786, 0.10554487] 
DRN - Dropout_Rates: [0.10513329, 0.11108041] 
BQN - Dropout_Rates: [0.09769314, 0.11037387] 
BQN - Dropout_Rates: [0.10043401, 0.10811398] 
DRN - Dropout_Rates: [0.09843142, 0.11018441] 
BQN - Dropout_Rates: [0.0968658, 0.11191417] 
BQN - Dropout_Rates: [0.0999312, 0.10751542] 
