DRN - Dropout_Rates: [0.00372109, 0.019023277] 
DRN - Dropout_Rates: [0.0037590496, 0.017201748] 
DRN - Dropout_Rates: [0.0044300766, 0.018075226] 
DRN - Dropout_Rates: [0.0040407167, 0.014212935] 
BQN - Dropout_Rates: [0.01325254, 0.11218165] 
BQN - Dropout_Rates: [0.008574757, 0.12884931] 
BQN - Dropout_Rates: [0.0052620703, 0.12202005] 
BQN - Dropout_Rates: [0.005200835, 0.10706576] 
DRN - Dropout_Rates: [0.0038172128, 0.01742311] 
DRN - Dropout_Rates: [0.0036367676, 0.017990472] 
DRN - Dropout_Rates: [0.0037864593, 0.014950028] 
DRN - Dropout_Rates: [0.0038254664, 0.017481148] 
BQN - Dropout_Rates: [0.007274431, 0.1440204] 
BQN - Dropout_Rates: [0.0052982345, 0.12849216] 
BQN - Dropout_Rates: [0.00871552, 0.121332526] 
BQN - Dropout_Rates: [0.005276126, 0.13835308] 
DRN - Dropout_Rates: [0.0060494663, 0.026147384] 
DRN - Dropout_Rates: [0.006719312, 0.028197812] 
DRN - Dropout_Rates: [0.0037111824, 0.01661762] 
DRN - Dropout_Rates: [0.0039262553, 0.014542882] 
BQN - Dropout_Rates: [0.010420389, 0.118895024] 
BQN - Dropout_Rates: [0.007215207, 0.116269425] 
BQN - Dropout_Rates: [0.005307254, 0.13746314] 
BQN - Dropout_Rates: [0.0053458186, 0.16483721] 
DRN - Dropout_Rates: [0.003852045, 0.020521523] 
DRN - Dropout_Rates: [0.0045265877, 0.01847645] 
DRN - Dropout_Rates: [0.01190841, 0.04514709] 
DRN - Dropout_Rates: [0.003764643, 0.020660672] 
BQN - Dropout_Rates: [0.005349598, 0.1062927] 
BQN - Dropout_Rates: [0.00551542, 0.113743] 
BQN - Dropout_Rates: [0.005084751, 0.13810866] 
BQN - Dropout_Rates: [0.013823855, 0.11976909] 
DRN - Dropout_Rates: [0.0037814963, 0.015213047] 
DRN - Dropout_Rates: [0.003876013, 0.020675585] 
DRN - Dropout_Rates: [0.0038407336, 0.01493068] 
DRN - Dropout_Rates: [0.008026059, 0.03188633] 
BQN - Dropout_Rates: [0.015320302, 0.11571943] 
BQN - Dropout_Rates: [0.005574665, 0.12323475] 
BQN - Dropout_Rates: [0.0152861, 0.13708346] 
BQN - Dropout_Rates: [0.010890055, 0.13802582] 
DRN - Dropout_Rates: [0.00822809, 0.028383346] 
DRN - Dropout_Rates: [0.0053399806, 0.022114275] 
DRN - Dropout_Rates: [0.0048922254, 0.017853152] 
DRN - Dropout_Rates: [0.0040357653, 0.017977672] 
BQN - Dropout_Rates: [0.013476425, 0.12373994] 
BQN - Dropout_Rates: [0.009668596, 0.11697246] 
BQN - Dropout_Rates: [0.005212703, 0.12280028] 
BQN - Dropout_Rates: [0.00779394, 0.13582315] 
DRN - Dropout_Rates: [0.0038353866, 0.016861973] 
DRN - Dropout_Rates: [0.0071549024, 0.026009558] 
DRN - Dropout_Rates: [0.0038242908, 0.015710935] 
DRN - Dropout_Rates: [0.004048418, 0.017050784] 
BQN - Dropout_Rates: [0.03580444, 0.12010129] 
BQN - Dropout_Rates: [0.0077098976, 0.10176512] 
BQN - Dropout_Rates: [0.005305759, 0.12773104] 
BQN - Dropout_Rates: [0.0056188297, 0.13175704] 
DRN - Dropout_Rates: [0.0037434534, 0.018474521] 
DRN - Dropout_Rates: [0.003968881, 0.016334703] 
DRN - Dropout_Rates: [0.005436211, 0.020625314] 
DRN - Dropout_Rates: [0.0038334797, 0.01852483] 
BQN - Dropout_Rates: [0.005737796, 0.1269123] 
BQN - Dropout_Rates: [0.015624943, 0.12570922] 
BQN - Dropout_Rates: [0.012775199, 0.11427732] 
BQN - Dropout_Rates: [0.005471365, 0.11787051] 
DRN - Dropout_Rates: [0.007845827, 0.029806087] 
DRN - Dropout_Rates: [0.003648569, 0.017278772] 
DRN - Dropout_Rates: [0.0040490003, 0.0171508] 
DRN - Dropout_Rates: [0.0037788998, 0.018193705] 
BQN - Dropout_Rates: [0.016456354, 0.13706918] 
BQN - Dropout_Rates: [0.006838393, 0.10748712] 
BQN - Dropout_Rates: [0.005504639, 0.13494448] 
BQN - Dropout_Rates: [0.018383326, 0.115365] 
DRN - Dropout_Rates: [0.0092067765, 0.032516766] 
DRN - Dropout_Rates: [0.0038424213, 0.015146347] 
DRN - Dropout_Rates: [0.0037981488, 0.014750676] 
DRN - Dropout_Rates: [0.0038674579, 0.017064326] 
BQN - Dropout_Rates: [0.00516589, 0.1262835] 
BQN - Dropout_Rates: [0.007650912, 0.122699216] 
BQN - Dropout_Rates: [0.012022855, 0.1145824] 
BQN - Dropout_Rates: [0.005538701, 0.123955175] 
