DRN - Dropout_Rates: [0.44277605, 0.4674379] 
DRN - Dropout_Rates: [0.4687303, 0.47368538] 
DRN - Dropout_Rates: [0.47809434, 0.4798268] 
DRN - Dropout_Rates: [0.4798148, 0.49002054] 
BQN - Dropout_Rates: [0.48048022, 0.48269352] 
BQN - Dropout_Rates: [0.48644286, 0.49294212] 
BQN - Dropout_Rates: [0.48757544, 0.49320182] 
BQN - Dropout_Rates: [0.48779237, 0.4897355] 
DRN - Dropout_Rates: [0.46886235, 0.47890395] 
DRN - Dropout_Rates: [0.4691593, 0.47938913] 
DRN - Dropout_Rates: [0.46616808, 0.4728] 
DRN - Dropout_Rates: [0.45949408, 0.4727944] 
BQN - Dropout_Rates: [0.47523785, 0.46848223] 
BQN - Dropout_Rates: [0.4866219, 0.49019802] 
BQN - Dropout_Rates: [0.4860396, 0.4921253] 
BQN - Dropout_Rates: [0.48329237, 0.48846948] 
DRN - Dropout_Rates: [0.47591737, 0.48268002] 
DRN - Dropout_Rates: [0.48185784, 0.49160266] 
DRN - Dropout_Rates: [0.48212117, 0.48633835] 
DRN - Dropout_Rates: [0.47492087, 0.47865644] 
BQN - Dropout_Rates: [0.48898944, 0.48808149] 
BQN - Dropout_Rates: [0.47963727, 0.4842036] 
BQN - Dropout_Rates: [0.4855168, 0.4892068] 
BQN - Dropout_Rates: [0.48436612, 0.48487943] 
DRN - Dropout_Rates: [0.47663924, 0.4821745] 
DRN - Dropout_Rates: [0.47098872, 0.48019543] 
DRN - Dropout_Rates: [0.4813073, 0.48830128] 
DRN - Dropout_Rates: [0.4497659, 0.46674272] 
BQN - Dropout_Rates: [0.48587954, 0.48212558] 
BQN - Dropout_Rates: [0.49003503, 0.4927779] 
BQN - Dropout_Rates: [0.48227587, 0.48301727] 
BQN - Dropout_Rates: [0.47974214, 0.4808617] 
DRN - Dropout_Rates: [0.47470716, 0.4857853] 
DRN - Dropout_Rates: [0.4599651, 0.4676487] 
DRN - Dropout_Rates: [0.48458943, 0.4930849] 
DRN - Dropout_Rates: [0.48297206, 0.4902948] 
BQN - Dropout_Rates: [0.4835624, 0.47773784] 
BQN - Dropout_Rates: [0.47972906, 0.48120517] 
BQN - Dropout_Rates: [0.48396555, 0.4850997] 
BQN - Dropout_Rates: [0.481024, 0.4806974] 
DRN - Dropout_Rates: [0.437338, 0.46060613] 
DRN - Dropout_Rates: [0.44869643, 0.461438] 
DRN - Dropout_Rates: [0.47130963, 0.4824911] 
DRN - Dropout_Rates: [0.48062223, 0.48490822] 
BQN - Dropout_Rates: [0.4883765, 0.48930445] 
BQN - Dropout_Rates: [0.48570377, 0.48954037] 
BQN - Dropout_Rates: [0.4769684, 0.4781773] 
BQN - Dropout_Rates: [0.4848609, 0.48821533] 
DRN - Dropout_Rates: [0.47305617, 0.48118123] 
DRN - Dropout_Rates: [0.47560677, 0.48474407] 
DRN - Dropout_Rates: [0.4730081, 0.48294294] 
DRN - Dropout_Rates: [0.47290084, 0.47796017] 
BQN - Dropout_Rates: [0.47878575, 0.48385805] 
BQN - Dropout_Rates: [0.48558602, 0.48999864] 
BQN - Dropout_Rates: [0.4764127, 0.4742852] 
BQN - Dropout_Rates: [0.4781149, 0.48215863] 
DRN - Dropout_Rates: [0.45629334, 0.46852657] 
DRN - Dropout_Rates: [0.48060188, 0.48823443] 
DRN - Dropout_Rates: [0.47338346, 0.48037624] 
DRN - Dropout_Rates: [0.4786278, 0.47776526] 
BQN - Dropout_Rates: [0.49080208, 0.49127784] 
BQN - Dropout_Rates: [0.47573006, 0.4711959] 
BQN - Dropout_Rates: [0.48931277, 0.49373114] 
BQN - Dropout_Rates: [0.4874077, 0.4927958] 
DRN - Dropout_Rates: [0.47142068, 0.47004882] 
DRN - Dropout_Rates: [0.45373818, 0.46803957] 
DRN - Dropout_Rates: [0.47255626, 0.4837372] 
DRN - Dropout_Rates: [0.45907527, 0.47691503] 
BQN - Dropout_Rates: [0.48363268, 0.48924518] 
BQN - Dropout_Rates: [0.4807969, 0.47870195] 
BQN - Dropout_Rates: [0.48581618, 0.48787925] 
BQN - Dropout_Rates: [0.48497066, 0.48562184] 
DRN - Dropout_Rates: [0.4609886, 0.46547377] 
DRN - Dropout_Rates: [0.47997662, 0.48424277] 
DRN - Dropout_Rates: [0.48161668, 0.4862476] 
DRN - Dropout_Rates: [0.47748336, 0.4850314] 
BQN - Dropout_Rates: [0.4913567, 0.49144274] 
BQN - Dropout_Rates: [0.47963092, 0.48132205] 
BQN - Dropout_Rates: [0.48758394, 0.48941636] 
BQN - Dropout_Rates: [0.4896272, 0.49336535] 
