DRN - Dropout_Rates: [0.00020578066, 0.00022960627] 
DRN - Dropout_Rates: [0.00015908791, 0.00017999847] 
DRN - Dropout_Rates: [0.00024881843, 0.00018718332] 
DRN - Dropout_Rates: [0.00020999298, 0.00025213673] 
BQN - Dropout_Rates: [0.00018193971, 0.00019098156] 
BQN - Dropout_Rates: [0.00019144536, 0.00019423592] 
BQN - Dropout_Rates: [0.00016732216, 0.0002076329] 
BQN - Dropout_Rates: [0.00020072647, 0.0001868873] 
DRN - Dropout_Rates: [0.00019317707, 0.0002110148] 
BQN - Dropout_Rates: [0.00019379899, 0.00020422415] 
DRN - Dropout_Rates: [0.00018025577, 0.00018321261] 
DRN - Dropout_Rates: [0.00017473883, 0.00014645697] 
DRN - Dropout_Rates: [0.00016176037, 0.00013626588] 
DRN - Dropout_Rates: [0.00019743467, 0.00017408957] 
BQN - Dropout_Rates: [0.00017025298, 0.00019975103] 
BQN - Dropout_Rates: [0.00019438397, 0.00019203039] 
BQN - Dropout_Rates: [0.0001746021, 0.00018593142] 
BQN - Dropout_Rates: [0.00017074932, 0.000174197] 
DRN - Dropout_Rates: [0.00016581002, 0.00014969574] 
BQN - Dropout_Rates: [0.00020614179, 0.00019061715] 
