DRN - Dropout_Rates: [0.095195524, 0.09197745] 
DRN - Dropout_Rates: [0.09531079, 0.09390569] 
DRN - Dropout_Rates: [0.09230279, 0.09448729] 
DRN - Dropout_Rates: [0.09301492, 0.08773776] 
BQN - Dropout_Rates: [0.10732225, 0.12251548] 
BQN - Dropout_Rates: [0.10423541, 0.111356504] 
BQN - Dropout_Rates: [0.104166105, 0.13216802] 
BQN - Dropout_Rates: [0.11064021, 0.14515139] 
DRN - Dropout_Rates: [0.097976506, 0.09794682] 
DRN - Dropout_Rates: [0.096541524, 0.10391417] 
DRN - Dropout_Rates: [0.09748618, 0.09415753] 
DRN - Dropout_Rates: [0.09963275, 0.0980107] 
BQN - Dropout_Rates: [0.105106466, 0.112176605] 
BQN - Dropout_Rates: [0.10385697, 0.11218622] 
BQN - Dropout_Rates: [0.10567347, 0.12654023] 
BQN - Dropout_Rates: [0.10949498, 0.20199752] 
DRN - Dropout_Rates: [0.09884774, 0.10338416] 
DRN - Dropout_Rates: [0.094826296, 0.0894266] 
DRN - Dropout_Rates: [0.09369561, 0.09488574] 
DRN - Dropout_Rates: [0.09566013, 0.09738845] 
BQN - Dropout_Rates: [0.106895976, 0.11987581] 
BQN - Dropout_Rates: [0.106100515, 0.12160852] 
BQN - Dropout_Rates: [0.10306211, 0.111183345] 
BQN - Dropout_Rates: [0.10229862, 0.113895744] 
DRN - Dropout_Rates: [0.098934814, 0.09955096] 
DRN - Dropout_Rates: [0.097083844, 0.09896266] 
DRN - Dropout_Rates: [0.096944526, 0.097317845] 
DRN - Dropout_Rates: [0.09398328, 0.09424286] 
BQN - Dropout_Rates: [0.10563077, 0.13501541] 
BQN - Dropout_Rates: [0.10439056, 0.1154257] 
BQN - Dropout_Rates: [0.10685152, 0.13174677] 
BQN - Dropout_Rates: [0.10972773, 0.16857633] 
DRN - Dropout_Rates: [0.09682485, 0.09365098] 
DRN - Dropout_Rates: [0.09122095, 0.0848427] 
DRN - Dropout_Rates: [0.09631434, 0.09794036] 
DRN - Dropout_Rates: [0.096165545, 0.09158066] 
BQN - Dropout_Rates: [0.10409093, 0.107214876] 
BQN - Dropout_Rates: [0.103604995, 0.11581591] 
BQN - Dropout_Rates: [0.11091102, 0.18157212] 
BQN - Dropout_Rates: [0.10775787, 0.177411] 
DRN - Dropout_Rates: [0.096622765, 0.090208] 
DRN - Dropout_Rates: [0.09529091, 0.09132098] 
DRN - Dropout_Rates: [0.094478354, 0.09444652] 
DRN - Dropout_Rates: [0.09376984, 0.09870035] 
BQN - Dropout_Rates: [0.10312494, 0.11371633] 
BQN - Dropout_Rates: [0.109241776, 0.14943644] 
BQN - Dropout_Rates: [0.11556902, 0.16878803] 
BQN - Dropout_Rates: [0.10771324, 0.1456431] 
DRN - Dropout_Rates: [0.09652323, 0.091765404] 
DRN - Dropout_Rates: [0.098579265, 0.09516162] 
DRN - Dropout_Rates: [0.09000996, 0.121710636] 
DRN - Dropout_Rates: [0.096372835, 0.09425455] 
BQN - Dropout_Rates: [0.104102135, 0.11459543] 
BQN - Dropout_Rates: [0.10399992, 0.109937415] 
BQN - Dropout_Rates: [0.10584855, 0.1198052] 
BQN - Dropout_Rates: [0.103249036, 0.11001935] 
DRN - Dropout_Rates: [0.09831439, 0.09622881] 
DRN - Dropout_Rates: [0.09174246, 0.09092773] 
DRN - Dropout_Rates: [0.09428842, 0.09225662] 
DRN - Dropout_Rates: [0.08971466, 0.09799813] 
BQN - Dropout_Rates: [0.10408517, 0.10834353] 
BQN - Dropout_Rates: [0.103914596, 0.123782195] 
BQN - Dropout_Rates: [0.106530026, 0.12541299] 
BQN - Dropout_Rates: [0.112565756, 0.23145497] 
DRN - Dropout_Rates: [0.09250996, 0.09024362] 
DRN - Dropout_Rates: [0.0963135, 0.09514316] 
DRN - Dropout_Rates: [0.09520645, 0.090463445] 
BQN - Dropout_Rates: [0.10599606, 0.13234897] 
DRN - Dropout_Rates: [0.09664529, 0.091534786] 
BQN - Dropout_Rates: [0.10628336, 0.143762] 
BQN - Dropout_Rates: [0.10402598, 0.10823786] 
BQN - Dropout_Rates: [0.10519626, 0.13201655] 
DRN - Dropout_Rates: [0.09637062, 0.093112394] 
DRN - Dropout_Rates: [0.09534657, 0.08943202] 
DRN - Dropout_Rates: [0.09263509, 0.09921073] 
BQN - Dropout_Rates: [0.10271135, 0.12231864] 
BQN - Dropout_Rates: [0.104583085, 0.115311034] 
BQN - Dropout_Rates: [0.10549066, 0.13122371] 
DRN - Dropout_Rates: [0.09222809, 0.10262533] 
BQN - Dropout_Rates: [0.10608043, 0.13408369] 
