DRN - Dropout_Rates: [0.09783228, 0.11035398] 
DRN - Dropout_Rates: [0.101640485, 0.112526] 
DRN - Dropout_Rates: [0.09945315, 0.114766404] 
DRN - Dropout_Rates: [0.09434626, 0.11509859] 
BQN - Dropout_Rates: [0.10029904, 0.10906792] 
BQN - Dropout_Rates: [0.09702843, 0.10758507] 
BQN - Dropout_Rates: [0.09833801, 0.10970328] 
BQN - Dropout_Rates: [0.096269645, 0.10785865] 
DRN - Dropout_Rates: [0.099959515, 0.11269435] 
DRN - Dropout_Rates: [0.10143345, 0.11211453] 
DRN - Dropout_Rates: [0.09875071, 0.11355221] 
DRN - Dropout_Rates: [0.098921716, 0.11210515] 
BQN - Dropout_Rates: [0.10161974, 0.108867206] 
BQN - Dropout_Rates: [0.09513649, 0.109022416] 
BQN - Dropout_Rates: [0.098687895, 0.10956795] 
BQN - Dropout_Rates: [0.09640929, 0.109751284] 
DRN - Dropout_Rates: [0.099235155, 0.117332846] 
DRN - Dropout_Rates: [0.100418724, 0.10981401] 
DRN - Dropout_Rates: [0.100392714, 0.11354595] 
DRN - Dropout_Rates: [0.101771876, 0.112784594] 
BQN - Dropout_Rates: [0.102810495, 0.109286904] 
BQN - Dropout_Rates: [0.099188976, 0.10824855] 
BQN - Dropout_Rates: [0.09371473, 0.107794955] 
BQN - Dropout_Rates: [0.103947565, 0.11085772] 
DRN - Dropout_Rates: [0.10016508, 0.1156969] 
DRN - Dropout_Rates: [0.0983911, 0.116211176] 
DRN - Dropout_Rates: [0.102633394, 0.109895006] 
DRN - Dropout_Rates: [0.09968559, 0.113199994] 
BQN - Dropout_Rates: [0.09713969, 0.10832314] 
BQN - Dropout_Rates: [0.09527782, 0.10757515] 
BQN - Dropout_Rates: [0.103020996, 0.11091916] 
BQN - Dropout_Rates: [0.095830955, 0.10929479] 
DRN - Dropout_Rates: [0.0986195, 0.11209189] 
DRN - Dropout_Rates: [0.10199329, 0.11398955] 
DRN - Dropout_Rates: [0.09980908, 0.11122128] 
DRN - Dropout_Rates: [0.099707976, 0.11186424] 
BQN - Dropout_Rates: [0.09656102, 0.111455254] 
BQN - Dropout_Rates: [0.102403656, 0.10928697] 
BQN - Dropout_Rates: [0.10011442, 0.10908619] 
BQN - Dropout_Rates: [0.097322494, 0.110630244] 
DRN - Dropout_Rates: [0.09774847, 0.11257769] 
DRN - Dropout_Rates: [0.104121976, 0.11490801] 
DRN - Dropout_Rates: [0.100247376, 0.11367888] 
DRN - Dropout_Rates: [0.094254635, 0.10859548] 
BQN - Dropout_Rates: [0.102706224, 0.10866298] 
BQN - Dropout_Rates: [0.09641941, 0.11084545] 
BQN - Dropout_Rates: [0.10028936, 0.111012794] 
BQN - Dropout_Rates: [0.093834795, 0.10988117] 
DRN - Dropout_Rates: [0.099277735, 0.11272174] 
DRN - Dropout_Rates: [0.10449822, 0.113449305] 
DRN - Dropout_Rates: [0.10176671, 0.11374559] 
DRN - Dropout_Rates: [0.097877525, 0.113222525] 
BQN - Dropout_Rates: [0.09853239, 0.11025776] 
BQN - Dropout_Rates: [0.100018635, 0.10906792] 
BQN - Dropout_Rates: [0.09738468, 0.10704579] 
BQN - Dropout_Rates: [0.09749226, 0.111328095] 
DRN - Dropout_Rates: [0.104266174, 0.11449373] 
DRN - Dropout_Rates: [0.099780224, 0.112628505] 
DRN - Dropout_Rates: [0.098705195, 0.11316152] 
DRN - Dropout_Rates: [0.100879095, 0.11523331] 
BQN - Dropout_Rates: [0.10442759, 0.11037035] 
BQN - Dropout_Rates: [0.10134671, 0.11027729] 
BQN - Dropout_Rates: [0.09687863, 0.110419415] 
BQN - Dropout_Rates: [0.098771214, 0.10992524] 
DRN - Dropout_Rates: [0.10346459, 0.1107238] 
DRN - Dropout_Rates: [0.097780965, 0.11593466] 
DRN - Dropout_Rates: [0.103154294, 0.11365922] 
DRN - Dropout_Rates: [0.104404494, 0.11391407] 
BQN - Dropout_Rates: [0.09550505, 0.10903017] 
BQN - Dropout_Rates: [0.09935678, 0.10907026] 
BQN - Dropout_Rates: [0.09678978, 0.10855618] 
BQN - Dropout_Rates: [0.09431021, 0.107765205] 
DRN - Dropout_Rates: [0.104312256, 0.105464034] 
DRN - Dropout_Rates: [0.10451648, 0.11170717] 
DRN - Dropout_Rates: [0.09910312, 0.11309023] 
DRN - Dropout_Rates: [0.102815546, 0.11228975] 
BQN - Dropout_Rates: [0.09978288, 0.109563716] 
BQN - Dropout_Rates: [0.095609315, 0.110592574] 
BQN - Dropout_Rates: [0.096166335, 0.112042464] 
BQN - Dropout_Rates: [0.100771256, 0.11123385] 
