BQN - Dropout_Rates: [0.4821915, 0.48767713]
BQN - Dropout_Rates: [0.48943496, 0.4924741]
BQN - Dropout_Rates: [0.48020998, 0.48313576]
BQN - Dropout_Rates: [0.48553544, 0.48985994]
BQN - Dropout_Rates: [0.47247916, 0.46896377]
BQN - Dropout_Rates: [0.4796493, 0.4812076]
BQN - Dropout_Rates: [0.48705655, 0.49062824]
BQN - Dropout_Rates: [0.48596284, 0.48742625]
BQN - Dropout_Rates: [0.47443682, 0.47072524]
BQN - Dropout_Rates: [0.48512068, 0.49066597]
BQN - Dropout_Rates: [0.48141012, 0.48345715]
BQN - Dropout_Rates: [0.48982483, 0.49315816]
BQN - Dropout_Rates: [0.48881453, 0.49157235]
BQN - Dropout_Rates: [0.48868087, 0.4792917]
BQN - Dropout_Rates: [0.4864177, 0.4873347]
BQN - Dropout_Rates: [0.4851723, 0.49131045]
BQN - Dropout_Rates: [0.47166094, 0.45948732]
BQN - Dropout_Rates: [0.49117076, 0.48654163]
BQN - Dropout_Rates: [0.4871873, 0.48787713]
BQN - Dropout_Rates: [0.48004302, 0.46324193]
DRN - Dropout_Rates: [0.39404848, 0.4192246] 
DRN - Dropout_Rates: [0.48333862, 0.49047372] 
DRN - Dropout_Rates: [0.48268288, 0.4909658] 
DRN - Dropout_Rates: [0.49435344, 0.49931625] 
DRN - Dropout_Rates: [0.12503, 0.13175805] 
DRN - Dropout_Rates: [0.47918263, 0.48280486] 
DRN - Dropout_Rates: [0.49572247, 0.5021389] 
DRN - Dropout_Rates: [0.4988034, 0.4997234] 
DRN - Dropout_Rates: [0.42704096, 0.46721047] 
DRN - Dropout_Rates: [0.36978447, 0.3889349] 
DRN - Dropout_Rates: [0.51132536, 0.5084492] 
DRN - Dropout_Rates: [0.49221715, 0.48110852] 
DRN - Dropout_Rates: [0.49775764, 0.49939802] 
DRN - Dropout_Rates: [0.3899901, 0.4453686] 
DRN - Dropout_Rates: [0.48105007, 0.48083863] 
DRN - Dropout_Rates: [0.4957213, 0.4963712] 
DRN - Dropout_Rates: [0.32021725, 0.36047167] 
DRN - Dropout_Rates: [0.5211029, 0.48648533] 
DRN - Dropout_Rates: [0.49224916, 0.49729508] 
DRN - Dropout_Rates: [0.44871622, 0.45665148] 
