DRN - Dropout_Rates: [0.097320795, 0.09300212] 
DRN - Dropout_Rates: [0.09458141, 0.08911714] 
DRN - Dropout_Rates: [0.096900254, 0.09075333] 
DRN - Dropout_Rates: [0.09465138, 0.089035966] 
BQN - Dropout_Rates: [0.10314417, 0.11000202] 
BQN - Dropout_Rates: [0.104277514, 0.13002296] 
BQN - Dropout_Rates: [0.11130365, 0.14753559] 
BQN - Dropout_Rates: [0.10791648, 0.12487357] 
DRN - Dropout_Rates: [0.09677081, 0.092606544] 
DRN - Dropout_Rates: [0.09884705, 0.09597873] 
DRN - Dropout_Rates: [0.09804799, 0.09405102] 
DRN - Dropout_Rates: [0.09424224, 0.10115882] 
BQN - Dropout_Rates: [0.10085081, 0.10964626] 
BQN - Dropout_Rates: [0.10651544, 0.11105853] 
BQN - Dropout_Rates: [0.10480528, 0.12543288] 
BQN - Dropout_Rates: [0.10444509, 0.11428292] 
DRN - Dropout_Rates: [0.09614507, 0.09110956] 
DRN - Dropout_Rates: [0.09760491, 0.09524806] 
DRN - Dropout_Rates: [0.09215015, 0.097793244] 
DRN - Dropout_Rates: [0.09586751, 0.09418324] 
BQN - Dropout_Rates: [0.10491815, 0.11712055] 
BQN - Dropout_Rates: [0.105010964, 0.12366569] 
BQN - Dropout_Rates: [0.104673766, 0.110087045] 
BQN - Dropout_Rates: [0.106333055, 0.1254579] 
DRN - Dropout_Rates: [0.09455032, 0.08912775] 
DRN - Dropout_Rates: [0.09583806, 0.09371983] 
DRN - Dropout_Rates: [0.09724148, 0.094681375] 
DRN - Dropout_Rates: [0.09648291, 0.097818] 
BQN - Dropout_Rates: [0.1067168, 0.112435155] 
BQN - Dropout_Rates: [0.108833514, 0.1303328] 
BQN - Dropout_Rates: [0.10618273, 0.12546517] 
BQN - Dropout_Rates: [0.111553706, 0.27203572] 
DRN - Dropout_Rates: [0.093317874, 0.0930857] 
DRN - Dropout_Rates: [0.09397193, 0.09354651] 
DRN - Dropout_Rates: [0.091446675, 0.0984594] 
DRN - Dropout_Rates: [0.09486142, 0.09056054] 
BQN - Dropout_Rates: [0.102653004, 0.11135174] 
BQN - Dropout_Rates: [0.10381795, 0.110133246] 
BQN - Dropout_Rates: [0.1056017, 0.13026953] 
BQN - Dropout_Rates: [0.10755507, 0.14872725] 
