CMDLINE C:\Users\koehl\miniconda3\envs\master_thesis\python.exe ss_2_aggregation.py
MEM 1.507812 1668940783.8898
MEM 15.996094 1668940783.9928
MEM 25.355469 1668940784.1049
MEM 31.167969 1668940784.2166
MEM 39.304688 1668940784.3272
MEM 45.066406 1668940784.4378
MEM 56.074219 1668940784.5473
MEM 64.621094 1668940784.6579
MEM 72.394531 1668940784.7690
MEM 84.050781 1668940784.8783
MEM 89.230469 1668940784.9878
MEM 96.585938 1668940785.0994
MEM 102.253906 1668940785.2100
MEM 108.953125 1668940785.3206
MEM 109.406250 1668940785.4308
MEM 115.480469 1668940785.5429
MEM 142.929688 1668940785.6529
MEM 140.421875 1668940785.7646
